"country_id","country_text_id","year","stock_id"
80,"IRQ",1907,99
80,"IRQ",1908,99
80,"IRQ",1909,99
80,"IRQ",1910,99
80,"IRQ",1911,99
80,"IRQ",1912,99
80,"IRQ",1913,99
80,"IRQ",1914,99
80,"IRQ",1915,99
80,"IRQ",1916,99
80,"IRQ",1917,99
80,"IRQ",1918,99
80,"IRQ",1919,99
83,"JOR",1789,99
83,"JOR",1790,99
83,"JOR",1791,99
83,"JOR",1792,99
83,"JOR",1793,99
83,"JOR",1794,99
83,"JOR",1795,99
83,"JOR",1796,99
83,"JOR",1797,99
83,"JOR",1798,99
83,"JOR",1799,99
83,"JOR",1800,99
83,"JOR",1801,99
83,"JOR",1802,99
83,"JOR",1819,99
83,"JOR",1820,99
83,"JOR",1821,99
83,"JOR",1822,99
83,"JOR",1823,99
83,"JOR",1824,99
83,"JOR",1825,99
83,"JOR",1826,99
83,"JOR",1827,99
83,"JOR",1828,99
83,"JOR",1829,99
83,"JOR",1830,99
83,"JOR",1831,99
83,"JOR",1832,99
83,"JOR",1842,99
83,"JOR",1843,99
83,"JOR",1844,99
83,"JOR",1845,99
83,"JOR",1846,99
83,"JOR",1847,99
83,"JOR",1848,99
83,"JOR",1849,99
83,"JOR",1850,99
83,"JOR",1851,99
83,"JOR",1852,99
83,"JOR",1853,99
83,"JOR",1854,99
83,"JOR",1855,99
83,"JOR",1856,99
83,"JOR",1857,99
83,"JOR",1858,99
83,"JOR",1859,99
83,"JOR",1860,99
83,"JOR",1861,99
83,"JOR",1862,99
83,"JOR",1863,99
83,"JOR",1864,99
83,"JOR",1865,99
83,"JOR",1866,99
83,"JOR",1867,99
83,"JOR",1868,99
83,"JOR",1869,99
83,"JOR",1870,99
83,"JOR",1871,99
83,"JOR",1872,99
83,"JOR",1873,99
83,"JOR",1874,99
83,"JOR",1875,99
83,"JOR",1876,99
83,"JOR",1877,99
83,"JOR",1878,99
83,"JOR",1879,99
83,"JOR",1880,99
83,"JOR",1881,99
83,"JOR",1882,99
83,"JOR",1883,99
83,"JOR",1884,99
83,"JOR",1885,99
83,"JOR",1886,99
83,"JOR",1887,99
83,"JOR",1888,99
83,"JOR",1889,99
83,"JOR",1890,99
83,"JOR",1891,99
83,"JOR",1892,99
83,"JOR",1893,99
83,"JOR",1894,99
83,"JOR",1895,99
83,"JOR",1896,99
83,"JOR",1897,99
83,"JOR",1898,99
83,"JOR",1899,99
83,"JOR",1900,99
83,"JOR",1901,99
83,"JOR",1902,99
83,"JOR",1903,99
83,"JOR",1904,99
83,"JOR",1905,99
83,"JOR",1906,99
83,"JOR",1907,99
83,"JOR",1908,99
83,"JOR",1909,99
83,"JOR",1910,99
83,"JOR",1911,99
83,"JOR",1912,99
83,"JOR",1913,99
83,"JOR",1914,99
83,"JOR",1915,99
83,"JOR",1916,99
83,"JOR",1917,99
83,"JOR",1918,99
94,"QAT",1871,99
94,"QAT",1872,99
94,"QAT",1873,99
94,"QAT",1874,99
94,"QAT",1875,99
94,"QAT",1876,99
94,"QAT",1877,99
94,"QAT",1878,99
94,"QAT",1879,99
94,"QAT",1880,99
94,"QAT",1881,99
94,"QAT",1882,99
94,"QAT",1883,99
94,"QAT",1884,99
94,"QAT",1885,99
94,"QAT",1886,99
94,"QAT",1887,99
94,"QAT",1888,99
94,"QAT",1889,99
94,"QAT",1890,99
94,"QAT",1891,99
94,"QAT",1892,99
94,"QAT",1893,99
94,"QAT",1894,99
94,"QAT",1895,99
94,"QAT",1896,99
94,"QAT",1897,99
94,"QAT",1898,99
94,"QAT",1899,99
97,"SYR",1789,99
97,"SYR",1790,99
97,"SYR",1791,99
97,"SYR",1792,99
97,"SYR",1793,99
97,"SYR",1794,99
97,"SYR",1795,99
97,"SYR",1796,99
97,"SYR",1797,99
97,"SYR",1798,99
97,"SYR",1799,99
97,"SYR",1800,99
97,"SYR",1801,99
97,"SYR",1802,99
97,"SYR",1803,99
97,"SYR",1804,99
97,"SYR",1805,99
97,"SYR",1806,99
97,"SYR",1807,99
97,"SYR",1808,99
97,"SYR",1809,99
97,"SYR",1810,99
97,"SYR",1811,99
97,"SYR",1812,99
97,"SYR",1813,99
97,"SYR",1814,99
97,"SYR",1815,99
97,"SYR",1816,99
97,"SYR",1817,99
97,"SYR",1818,99
97,"SYR",1819,99
97,"SYR",1820,99
97,"SYR",1821,99
97,"SYR",1822,99
97,"SYR",1823,99
97,"SYR",1824,99
97,"SYR",1825,99
97,"SYR",1826,99
97,"SYR",1827,99
97,"SYR",1828,99
97,"SYR",1829,99
97,"SYR",1830,99
97,"SYR",1842,99
